epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.3871721923351288,0.6150220632553101,0.42478838562965393,0.5758360624313354
1,0.46982941031455994,0.5462321043014526,0.42335060238838196,0.5767244696617126
2,0.44950830936431885,0.5485057234764099,0.4181811213493347,0.5818691253662109
3,0.4629511535167694,0.5370021462440491,0.43816569447517395,0.5618544816970825
4,0.47081348299980164,0.5305037498474121,0.4211176335811615,0.5809574723243713
5,0.4539002478122711,0.5360689163208008,0.035481393337249756,0.9643512964248657
6,0.48541149497032166,0.519239068031311,0.3489134907722473,0.6493636965751648
7,0.4806216061115265,0.5184779167175293,0.4723230004310608,0.5284046530723572
8,0.4837842583656311,0.5119037628173828,0.47788581252098083,0.5227217674255371
9,0.495088130235672,0.5136507153511047,0.4776434302330017,0.5233891010284424
10,0.5024376511573792,0.5042321681976318,0.49005818367004395,0.5108113288879395
11,0.48439639806747437,0.5067921280860901,0.46113714575767517,0.5402594208717346
12,0.48861250281333923,0.5114749670028687,0.46648484468460083,0.5338978171348572
13,0.49914804100990295,0.5039124488830566,0.4870468080043793,0.5135153532028198
14,0.4941481649875641,0.4986420273780823,0.4859471321105957,0.5152865052223206
15,0.4896667003631592,0.5049033761024475,0.4885621666908264,0.5122787952423096
16,0.4832431375980377,0.5034187436103821,0.4983389973640442,0.5022820830345154
17,0.4962209165096283,0.49989309906959534,0.4927422106266022,0.5093588829040527
18,0.4768945574760437,0.5028545260429382,0.47958168387413025,0.5214104056358337
19,0.49540501832962036,0.503899335861206,0.4840324819087982,0.5162356495857239
20,0.4885518252849579,0.49302202463150024,0.5084028244018555,0.49339592456817627
21,0.4949605166912079,0.5008510947227478,0.49254706501960754,0.5085021257400513
22,0.514590859413147,0.4950035810470581,0.4925273358821869,0.5087130665779114
23,0.49514639377593994,0.49026617407798767,0.4743000864982605,0.5245206356048584
24,0.5136309862136841,0.49475234746932983,0.5003947615623474,0.5010733604431152
25,0.49954596161842346,0.49161747097969055,0.49545907974243164,0.5053335428237915
